batch,record_kind,source_path,source_heading,repository,original_path,normalized_path,rule
micro-01,content-unit,consulting/templates/consulting-proposal-template.md,1. Contexto,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,content-unit,consulting/templates/consulting-proposal-template.md,10. Riscos,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,content-unit,consulting/templates/consulting-proposal-template.md,11. Métricas do engagement,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,content-unit,consulting/templates/consulting-proposal-template.md,"12. Confidencialidade, IP e segurança",ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,content-unit,consulting/templates/consulting-proposal-template.md,13. Limitações,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,content-unit,consulting/templates/consulting-proposal-template.md,14. Próximos passos,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,content-unit,consulting/templates/consulting-proposal-template.md,2. Objetivos e outcomes,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,content-unit,consulting/templates/consulting-proposal-template.md,3. Escopo,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,content-unit,consulting/templates/consulting-proposal-template.md,4. Assumptions e pré-requisitos,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,content-unit,consulting/templates/consulting-proposal-template.md,5. Abordagem,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,content-unit,consulting/templates/consulting-proposal-template.md,6. Fases e decision gates,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,content-unit,consulting/templates/consulting-proposal-template.md,7. Entregáveis,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,content-unit,consulting/templates/consulting-proposal-template.md,8. Papéis,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,content-unit,consulting/templates/consulting-proposal-template.md,9. Timeline indicativa,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,content-unit,consulting/templates/consulting-proposal-template.md,Excluído,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,content-unit,consulting/templates/consulting-proposal-template.md,Incluído,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,content-unit,consulting/templates/consulting-proposal-template.md,Template — Proposta de Consultoria em Governança de IA,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,content-unit,docs/architecture/agent-or-not.md,Decisão arquitetural — agente é o mecanismo certo?,ai-agent-governance-framework-next,docs/master/02-portfolio-intake-and-risk.md,docs/framework/03-inventory-portfolio-and-value.md,canonical-framework-chapter
micro-01,content-unit,docs/architecture/agent-or-not.md,Definition of done,ai-agent-governance-framework-next,docs/master/02-portfolio-intake-and-risk.md,docs/framework/03-inventory-portfolio-and-value.md,canonical-framework-chapter
micro-01,content-unit,docs/architecture/agent-or-not.md,Exemplos de decisão,ai-agent-governance-framework-next,docs/master/02-portfolio-intake-and-risk.md,docs/framework/03-inventory-portfolio-and-value.md,canonical-framework-chapter
micro-01,content-unit,docs/architecture/agent-or-not.md,Failure modes,ai-agent-governance-framework-next,docs/master/02-portfolio-intake-and-risk.md,docs/framework/03-inventory-portfolio-and-value.md,canonical-framework-chapter
micro-01,content-unit,docs/architecture/agent-or-not.md,Objetivo,ai-agent-governance-framework-next,docs/master/02-portfolio-intake-and-risk.md,docs/framework/03-inventory-portfolio-and-value.md,canonical-framework-chapter
micro-01,content-unit,docs/architecture/agent-or-not.md,Onde registrar,ai-agent-governance-framework-next,docs/master/02-portfolio-intake-and-risk.md,docs/framework/03-inventory-portfolio-and-value.md,canonical-framework-chapter
micro-01,content-unit,docs/architecture/agent-or-not.md,Árvore de decisão,ai-agent-governance-framework-next,docs/master/02-portfolio-intake-and-risk.md,docs/framework/03-inventory-portfolio-and-value.md,canonical-framework-chapter
micro-01,file-destination,assessments/risk-assessments/.gitkeep,,ai-agent-governance-framework-next,toolkit/assessments/risk-assessments/,toolkit/assessments/risk/README.md,canonical-framework-exact
micro-01,file-destination,consulting/templates/consulting-proposal-template.md,,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01,file-destination,docs/architecture/agent-or-not.md,,ai-agent-governance-framework-next,docs/master/02-portfolio-intake-and-risk.md,docs/framework/03-inventory-portfolio-and-value.md,canonical-framework-chapter
micro-01,file-destination,examples/cases/benefits-eligibility-triage/blueprint.json,,ai-agent-governance-implementation-template,examples/cases/benefits-eligibility-triage/blueprint.json,examples/fictional/cases/benefits-eligibility-triage/blueprint.json,fictitious-example-boundary
micro-01,file-destination,examples/cases/benefits-eligibility-triage/registry.json,,ai-agent-governance-implementation-template,examples/cases/benefits-eligibility-triage/registry.json,examples/fictional/cases/benefits-eligibility-triage/registry.json,fictitious-example-boundary
micro-01,file-destination,examples/control-catalog.example.json,,ai-agent-governance-implementation-template,examples/catalogs/control-catalog.example.json,examples/fictional/catalogs/control-catalog.example.json,fictitious-example-boundary
micro-01,file-destination,schemas/.gitkeep,,ai-agent-governance-framework-next,schemas/,toolkit/schemas/README.md,canonical-framework-exact
micro-01,file-destination,schemas/model-provider-catalog.schema.json,,ai-agent-governance-framework-next,schemas/model-provider-catalog.schema.json,toolkit/schemas/model-provider-catalog.schema.json,schema-to-toolkit
micro-01b,file-destination,assessments/risk-assessments/.gitkeep,,ai-agent-governance-framework-next,toolkit/assessments/risk-assessments/,toolkit/assessments/risk/README.md,canonical-framework-exact
micro-01b,file-destination,schemas/.gitkeep,,ai-agent-governance-framework-next,schemas/,toolkit/schemas/README.md,canonical-framework-exact
micro-01b,file-destination,schemas/model-provider-catalog.schema.json,,ai-agent-governance-framework-next,schemas/model-provider-catalog.schema.json,toolkit/schemas/model-provider-catalog.schema.json,schema-to-toolkit
micro-01c,content-unit,consulting/templates/consulting-proposal-template.md,1. Contexto,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,content-unit,consulting/templates/consulting-proposal-template.md,10. Riscos,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,content-unit,consulting/templates/consulting-proposal-template.md,11. Métricas do engagement,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,content-unit,consulting/templates/consulting-proposal-template.md,"12. Confidencialidade, IP e segurança",ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,content-unit,consulting/templates/consulting-proposal-template.md,13. Limitações,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,content-unit,consulting/templates/consulting-proposal-template.md,14. Próximos passos,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,content-unit,consulting/templates/consulting-proposal-template.md,2. Objetivos e outcomes,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,content-unit,consulting/templates/consulting-proposal-template.md,3. Escopo,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,content-unit,consulting/templates/consulting-proposal-template.md,4. Assumptions e pré-requisitos,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,content-unit,consulting/templates/consulting-proposal-template.md,5. Abordagem,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,content-unit,consulting/templates/consulting-proposal-template.md,6. Fases e decision gates,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,content-unit,consulting/templates/consulting-proposal-template.md,7. Entregáveis,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,content-unit,consulting/templates/consulting-proposal-template.md,8. Papéis,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,content-unit,consulting/templates/consulting-proposal-template.md,9. Timeline indicativa,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,content-unit,consulting/templates/consulting-proposal-template.md,Excluído,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,content-unit,consulting/templates/consulting-proposal-template.md,Incluído,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,content-unit,consulting/templates/consulting-proposal-template.md,Template — Proposta de Consultoria em Governança de IA,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,content-unit,docs/architecture/agent-or-not.md,Decisão arquitetural — agente é o mecanismo certo?,ai-agent-governance-framework-next,docs/master/02-portfolio-intake-and-risk.md,docs/framework/03-inventory-portfolio-and-value.md,canonical-framework-chapter
micro-01c,content-unit,docs/architecture/agent-or-not.md,Definition of done,ai-agent-governance-framework-next,docs/master/02-portfolio-intake-and-risk.md,docs/framework/03-inventory-portfolio-and-value.md,canonical-framework-chapter
micro-01c,content-unit,docs/architecture/agent-or-not.md,Exemplos de decisão,ai-agent-governance-framework-next,docs/master/02-portfolio-intake-and-risk.md,docs/framework/03-inventory-portfolio-and-value.md,canonical-framework-chapter
micro-01c,content-unit,docs/architecture/agent-or-not.md,Failure modes,ai-agent-governance-framework-next,docs/master/02-portfolio-intake-and-risk.md,docs/framework/03-inventory-portfolio-and-value.md,canonical-framework-chapter
micro-01c,content-unit,docs/architecture/agent-or-not.md,Objetivo,ai-agent-governance-framework-next,docs/master/02-portfolio-intake-and-risk.md,docs/framework/03-inventory-portfolio-and-value.md,canonical-framework-chapter
micro-01c,content-unit,docs/architecture/agent-or-not.md,Onde registrar,ai-agent-governance-framework-next,docs/master/02-portfolio-intake-and-risk.md,docs/framework/03-inventory-portfolio-and-value.md,canonical-framework-chapter
micro-01c,content-unit,docs/architecture/agent-or-not.md,Árvore de decisão,ai-agent-governance-framework-next,docs/master/02-portfolio-intake-and-risk.md,docs/framework/03-inventory-portfolio-and-value.md,canonical-framework-chapter
micro-01c,file-destination,consulting/templates/consulting-proposal-template.md,,ai-agent-governance-consulting,templates/consulting-proposal-template.md,templates/commercial/proposal.md,canonical-consulting-tree
micro-01c,file-destination,docs/architecture/agent-or-not.md,,ai-agent-governance-framework-next,docs/master/02-portfolio-intake-and-risk.md,docs/framework/03-inventory-portfolio-and-value.md,canonical-framework-chapter
micro-01c,file-destination,examples/cases/benefits-eligibility-triage/blueprint.json,,ai-agent-governance-implementation-template,examples/cases/benefits-eligibility-triage/blueprint.json,examples/fictional/cases/benefits-eligibility-triage/blueprint.json,fictitious-example-boundary
micro-01c,file-destination,examples/cases/benefits-eligibility-triage/registry.json,,ai-agent-governance-implementation-template,examples/cases/benefits-eligibility-triage/registry.json,examples/fictional/cases/benefits-eligibility-triage/registry.json,fictitious-example-boundary
micro-01c,file-destination,examples/control-catalog.example.json,,ai-agent-governance-implementation-template,examples/catalogs/control-catalog.example.json,examples/fictional/catalogs/control-catalog.example.json,fictitious-example-boundary
micro-02,content-unit,assessments/README.md,Artefatos,ai-agent-governance-framework-next,assessments/README.md,toolkit/assessments/README.md,assessment-to-toolkit
micro-02,content-unit,assessments/README.md,Assessments,ai-agent-governance-framework-next,assessments/README.md,toolkit/assessments/README.md,assessment-to-toolkit
micro-02,content-unit,assessments/README.md,Requisitos mínimos,ai-agent-governance-framework-next,assessments/README.md,toolkit/assessments/README.md,assessment-to-toolkit
micro-02,content-unit,docs/architecture/decisions/0008-manual-documentation-site-publication.md,ADR-0008 — Build verificável e publicação manual do site,ai-agent-governance-framework-next,archive/source-history/adrs/0008-manual-documentation-site-publication.md,project/history/source-repository/adrs/0008-manual-documentation-site-publication.md,archive-to-project-history
micro-02,content-unit,docs/architecture/decisions/0008-manual-documentation-site-publication.md,Consequências,ai-agent-governance-framework-next,archive/source-history/adrs/0008-manual-documentation-site-publication.md,project/history/source-repository/adrs/0008-manual-documentation-site-publication.md,archive-to-project-history
micro-02,content-unit,docs/architecture/decisions/0008-manual-documentation-site-publication.md,Contexto,ai-agent-governance-framework-next,archive/source-history/adrs/0008-manual-documentation-site-publication.md,project/history/source-repository/adrs/0008-manual-documentation-site-publication.md,archive-to-project-history
micro-02,content-unit,docs/architecture/decisions/0008-manual-documentation-site-publication.md,Critérios de validação,ai-agent-governance-framework-next,archive/source-history/adrs/0008-manual-documentation-site-publication.md,project/history/source-repository/adrs/0008-manual-documentation-site-publication.md,archive-to-project-history
micro-02,content-unit,docs/architecture/decisions/0008-manual-documentation-site-publication.md,Decisão,ai-agent-governance-framework-next,archive/source-history/adrs/0008-manual-documentation-site-publication.md,project/history/source-repository/adrs/0008-manual-documentation-site-publication.md,archive-to-project-history
micro-02,content-unit,docs/architecture/decisions/0008-manual-documentation-site-publication.md,Evidência da decisão,ai-agent-governance-framework-next,archive/source-history/adrs/0008-manual-documentation-site-publication.md,project/history/source-repository/adrs/0008-manual-documentation-site-publication.md,archive-to-project-history
micro-02,content-unit,docs/architecture/decisions/0008-manual-documentation-site-publication.md,Negativas,ai-agent-governance-framework-next,archive/source-history/adrs/0008-manual-documentation-site-publication.md,project/history/source-repository/adrs/0008-manual-documentation-site-publication.md,archive-to-project-history
micro-02,content-unit,docs/architecture/decisions/0008-manual-documentation-site-publication.md,Positivas,ai-agent-governance-framework-next,archive/source-history/adrs/0008-manual-documentation-site-publication.md,project/history/source-repository/adrs/0008-manual-documentation-site-publication.md,archive-to-project-history
